gene,chromosome,start,end,band,length,type
HMGA1P6,chr13,23708313,23708703,13q,390,pseudogene
RNY3P4,chr13,23726725,23726825,13q,100,pseudogene
LINC00362,chr13,23743974,23744736,13q,762,ncRNA
RNU6-58P,chr13,23791571,23791673,13q,102,pseudogene
TATDN2P3,chr13,23817659,23821323,13q,3664,pseudogene
LINC00363,chr13,93708910,93710179,13q,1269,ncRNA
SDAD1P4,chr13,23841645,23843289,13q,1644,pseudogene
RPLP1P13,chr13,23947562,23948200,13q,638,pseudogene
SACS-AS1,chr13,23993110,24002818,13q,9708,ncRNA
HNRNPA1P29,chr13,94047230,94048108,13q,878,pseudogene
GPC6-AS2,chr13,94470677,94488397,13q,17720,ncRNA
RNA5SP35,chr13,94677724,94677852,13q,128,pseudogene
LINC00327,chr13,24040710,24061603,13q,20893,ncRNA
GPC6-AS1,chr13,94806447,94840245,13q,33798,ncRNA
LINC00352,chr13,24072935,24077013,13q,4078,ncRNA
RNA5SP36,chr13,95303651,95303783,13q,132,pseudogene
MTCO3P2,chr13,24340073,24340243,13q,170,pseudogene
RN7SL585P,chr13,95351479,95351756,13q,277,pseudogene
LINC00391,chr13,95351948,95355116,13q,3168,ncRNA
SOX21-AS1,chr13,95364970,95368500,13q,3530,ncRNA
C1QTNF9B-AS1,chr13,24463028,24471402,13q,8374,NA
BRD7P5,chr13,95409705,95411526,13q,1821,pseudogene
RPL21P112,chr13,95412807,95413269,13q,462,pseudogene
LINC00557,chr13,95612295,95613573,13q,1278,ncRNA
RNU6-62P,chr13,95671489,95671590,13q,101,pseudogene
RNY3P8,chr13,95963084,95963209,13q,125,pseudogene
ANKRD20A19P,chr13,24513696,24520921,13q,7225,pseudogene
RNY4P27,chr13,95988360,95988455,13q,95,pseudogene
MEMO1P5,chr13,96046303,96046708,13q,405,pseudogene
CLDN10-AS1,chr13,96131698,96186164,13q,54466,ncRNA
DNAJC3-AS1,chr13,96300987,96329179,13q,28192,NA
IPO7P2,chr13,24696204,24697953,13q,1749,pseudogene
MTND5P2,chr13,96344792,96346226,13q,1434,pseudogene
MIR2276,chr13,24736555,24736643,13q,88,NA
SPATA13-AS1,chr13,24826887,24828577,13q,1690,ncRNA
MTND6P18,chr13,96346237,96346749,13q,512,pseudogene
C1QTNF9-AS1,chr13,24889863,24895736,13q,5873,ncRNA
MTCYBP3,chr13,96346823,96347959,13q,1136,pseudogene
NUS1P3,chr13,24902349,24903210,13q,861,pseudogene
LINC00566,chr13,24905588,24911259,13q,5671,ncRNA
HMGN1P24,chr13,96461564,96461861,13q,297,pseudogene
CYCSP33,chr13,24974841,24975167,13q,326,pseudogene
RN7SL164P,chr13,96821799,96822099,13q,300,pseudogene
AMMECR1LP1,chr13,97225913,97226753,13q,840,pseudogene
TPTE2P6,chr13,24982295,25171814,13q,189519,pseudogene
HSP90AB6P,chr13,97536096,97542067,13q,5971,pseudogene
LINC00359,chr13,97593535,97636426,13q,42891,ncRNA
PSPC1P2,chr13,25140981,25144866,13q,3885,pseudogene
TULP3P1,chr13,97599891,97601181,13q,1290,pseudogene
RN7SKP7,chr13,97601503,97601787,13q,284,pseudogene
RNY1P7,chr13,25277694,25277803,13q,109,pseudogene
RPL26P34,chr13,25278476,25278926,13q,450,pseudogene
LINC00456,chr13,97824723,97831876,13q,7153,ncRNA
IRX1P1,chr13,25316815,25320322,13q,3507,pseudogene
RNA5SP37,chr13,98015226,98015355,13q,129,pseudogene
PSMA6P4,chr13,98127996,98128713,13q,717,pseudogene
ANKRD20A10P,chr13,25324795,25326309,13q,1514,pseudogene
RPL7AP61,chr13,98553907,98554542,13q,635,pseudogene
TPTE2P1,chr13,25498815,25542625,13q,43810,pseudogene
FTLP8,chr13,98639204,98639470,13q,266,pseudogene
RN7SKP8,chr13,98856089,98856446,13q,357,pseudogene
MIR3170,chr13,98860778,98860854,13q,76,NA
SLC25A15P3,chr13,25517713,25518636,13q,923,pseudogene
FARP1-AS1,chr13,99087659,99088094,13q,435,ncRNA
RPL34P27,chr13,25562715,25563063,13q,348,pseudogene
STK24-AS1,chr13,99229498,99231084,13q,1586,ncRNA
NUS1P4,chr13,99262546,99263130,13q,584,pseudogene
AMER2-AS1,chr13,25746966,25754217,13q,7251,NA
CYCSP35,chr13,99281940,99282243,13q,303,pseudogene
LINC01053,chr13,25755579,25763898,13q,8319,ncRNA
CALM2P4,chr13,99293068,99293493,13q,425,pseudogene
LINC01076,chr13,25767245,25784433,13q,17188,ncRNA
RN7SL60P,chr13,99324234,99324529,13q,295,pseudogene
RPL23AP69,chr13,25780187,25780644,13q,457,pseudogene
DOCK9-AS1,chr13,99484338,99486883,13q,2545,ncRNA
RPL7L1P12,chr13,99601973,99602701,13q,728,pseudogene
TCEB2P1,chr13,25939937,25940293,13q,356,NA
RN7SL289P,chr13,26027137,26027428,13q,291,NA
RNU6-83P,chr13,99677488,99677599,13q,111,pseudogene
RNU6-78P,chr13,26091257,26091363,13q,106,pseudogene
DOCK9-AS2,chr13,99740073,99740879,13q,806,NA
RPS6P23,chr13,99825847,99826744,13q,897,pseudogene
RN7SL741P,chr13,26518632,26518891,13q,259,pseudogene
RNY1P3,chr13,26524842,26524959,13q,117,pseudogene
LINC00415,chr13,26626414,26627523,13q,1109,ncRNA
GAPDHP22,chr13,99842833,99843245,13q,412,pseudogene
UBAC2-AS1,chr13,99848631,99852964,13q,4333,ncRNA
ATP8A2P3,chr13,26688547,26728313,13q,39766,pseudogene
RN7SKP9,chr13,99857962,99858260,13q,298,pseudogene
H2AFZP3,chr13,99867626,99868012,13q,386,NA
MIR623,chr13,100008385,100008482,13q,97,NA
PRUNEP1,chr13,26691686,26693102,13q,1416,pseudogene
HMGB3P4,chr13,100024427,100024940,13q,513,pseudogene
CCR12P,chr13,100060035,100061316,13q,1281,pseudogene
PRKRIRP6,chr13,26808350,26811266,13q,2916,NA
LINC00449,chr13,100151981,100153306,13q,1325,ncRNA
RPS3AP44,chr13,27151023,27151812,13q,789,pseudogene
RNY3P6,chr13,100188573,100188650,13q,77,pseudogene
LINC01039,chr13,100229366,100232622,13q,3256,ncRNA
WASF3-AS1,chr13,27180681,27215501,13q,34820,ncRNA
CFL1P8,chr13,100234960,100235434,13q,474,pseudogene
FGFR1OP2P1,chr13,27479499,27479998,13q,499,pseudogene
RPS21P8,chr13,27551680,27551926,13q,246,pseudogene
MIR4306,chr13,100295313,100295403,13q,90,NA
RPS20P32,chr13,27591688,27592046,13q,358,pseudogene
CLYBL-AS2,chr13,100342335,100343225,13q,890,ncRNA
USP12-AS1,chr13,27736992,27743272,13q,6280,ncRNA
CLYBL-AS1,chr13,100378501,100379745,13q,1244,ncRNA
USP12-AS2,chr13,27746396,27757135,13q,10739,NA
LINC00412,chr13,27810419,27810948,13q,529,ncRNA
SNORD102,chr13,27829201,27829272,13q,71,snoRNA
LINC00554,chr13,100647153,100650163,13q,3010,ncRNA
SNORA27,chr13,27829538,27829663,13q,125,snoRNA
NDUFA12P1,chr13,100680023,100680428,13q,405,pseudogene
RNU6-70P,chr13,27917785,27917883,13q,98,pseudogene
LINC01079,chr13,27947485,27948503,13q,1018,ncRNA
ASNSP3,chr13,100714550,100715855,13q,1305,pseudogene
RNY1P1,chr13,27976613,27976724,13q,111,pseudogene
RNU6-63P,chr13,28062275,28062369,13q,94,pseudogene
RPL15P18,chr13,100802735,100803346,13q,611,pseudogene
NPM1P4,chr13,28270530,28271341,13q,811,pseudogene
RNU6-73P,chr13,28402900,28403006,13q,106,pseudogene
PCCA-AS1,chr13,101116694,101133411,13q,16717,ncRNA
PDX1-AS1,chr13,28407581,28495541,13q,87960,NA
LINC00543,chr13,28527663,28529507,13q,1844,ncRNA
RN7SL272P,chr13,28563435,28563721,13q,286,pseudogene
KATNBL1P1,chr13,28641724,28642471,13q,747,pseudogene
CHCHD2P8,chr13,28681568,28682014,13q,446,pseudogene
RPS26P47,chr13,101192089,101192528,13q,439,pseudogene
PAN3-AS1,chr13,28710980,28712330,13q,1350,ncRNA
COX5BP6,chr13,101276129,101276683,13q,554,pseudogene
EEF1A1P3,chr13,28788650,28790034,13q,1384,pseudogene
RNU6-82P,chr13,28806638,28806744,13q,106,pseudogene
NALCN-AS1,chr13,101360579,101711638,13q,351059,ncRNA
EIF4A1P7,chr13,29172970,29174189,13q,1219,pseudogene
RNU6-53P,chr13,29277839,29277944,13q,105,pseudogene
ARF4P3,chr13,101408805,101409313,13q,508,pseudogene
CYP51A1P2,chr13,29296523,29298158,13q,1635,pseudogene
LINC00411,chr13,101593116,101596618,13q,3502,ncRNA
POM121L13P,chr13,29352695,29353074,13q,379,pseudogene
RNU1-24P,chr13,102431234,102431398,13q,164,pseudogene
MTUS2-AS2,chr13,29813516,29824691,13q,11175,ncRNA
HMGB3P7,chr13,102454228,102454838,13q,610,pseudogene
MIR2681,chr13,102619992,102620096,13q,104,NA
GAPDHP69,chr13,29880915,29881922,13q,1007,pseudogene
LIPT1P1,chr13,102654475,102655660,13q,1185,pseudogene
RNY1P2,chr13,102669303,102669419,13q,116,pseudogene
MTUS2-AS1,chr13,30050652,30064242,13q,13590,ncRNA
MIR4705,chr13,102698284,102698354,13q,70,NA
RPL39P29,chr13,102915396,102915552,13q,156,pseudogene
TIMM8BP1,chr13,30440096,30440306,13q,210,pseudogene
LINC00297,chr13,30446750,30462542,13q,15792,ncRNA
FGF14-IT1,chr13,102944677,103046869,13q,102192,ncRNA
LINC00572,chr13,30492784,30500788,13q,8004,ncRNA
FGF14-AS1,chr13,103019889,103026016,13q,6127,ncRNA
LINC00544,chr13,30510042,30524625,13q,14583,ncRNA
FGF14-AS2,chr13,103046980,103048053,13q,1073,ncRNA
LINC00555,chr13,103241722,103242163,13q,441,ncRNA
LINC00365,chr13,30677315,30683012,13q,5697,ncRNA
LINC00384,chr13,30726023,30733758,13q,7735,ncRNA
LINC00283,chr13,103395340,103397574,13q,2234,ncRNA
LINC00385,chr13,30728203,30728723,13q,520,ncRNA
RNY5P8,chr13,103472343,103472419,13q,76,pseudogene
RNU6-64P,chr13,30855902,30856006,13q,104,pseudogene
METTL21EP,chr13,103532449,103548383,13q,15934,pseudogene
PRDX2P1,chr13,30870284,30870872,13q,588,pseudogene
LINC00427,chr13,30890497,30894040,13q,3543,ncRNA
ATP6V1G1P7,chr13,104096970,104097318,13q,348,pseudogene
RPL7P45,chr13,105466678,105467420,13q,742,pseudogene
DAOA-AS1,chr13,106111404,106158030,13q,46626,ncRNA
LINC00426,chr13,30914407,30951282,13q,36875,ncRNA
LINC00343,chr13,106356629,106416789,13q,60160,ncRNA
LINC01058,chr13,30993656,30996374,13q,2718,ncRNA
UBE2L5P,chr13,31002084,31002656,13q,572,NA
RNA5SP38,chr13,106807721,106807839,13q,118,pseudogene
RBM22P2,chr13,31113734,31117598,13q,3864,pseudogene
LINC00460,chr13,107028911,107030565,13q,1654,ncRNA
MFAP1P1,chr13,31115780,31117034,13q,1254,pseudogene
RPL35P9,chr13,107078121,107078470,13q,349,pseudogene
PTPN2P2,chr13,31127807,31128830,13q,1023,pseudogene
LINC00551,chr13,107270158,107283707,13q,13549,ncRNA
LINC00443,chr13,107306264,107324511,13q,18247,ncRNA
LINC00398,chr13,31377343,31384782,13q,7439,ncRNA
ATP5G1P5,chr13,107315785,107316195,13q,410,NA
PPIAP24,chr13,107516164,107516634,13q,470,pseudogene
TEX26-AS1,chr13,31456070,31507983,13q,51913,ncRNA
MIR1267,chr13,108183519,108183596,13q,77,NA
FAM155A-IT1,chr13,108440690,108487799,13q,47109,NA
RNA5SP39,chr13,108953560,108953679,13q,119,pseudogene
HCFC2P1,chr13,109132574,109134165,13q,1591,pseudogene
MYO16-AS2,chr13,109753609,109754267,13q,658,ncRNA
LINC00545,chr13,31456688,31457532,13q,844,ncRNA
MYO16-AS1,chr13,109816250,109853831,13q,37581,ncRNA
LINC00370,chr13,109934321,109940081,13q,5760,ncRNA
LINC01066,chr13,31569299,31570275,13q,976,ncRNA
LINC01067,chr13,109962483,109964121,13q,1638,ncRNA
MIR548X,chr21,20058408,20058482,21q,74,NA
WDR95P,chr13,31651391,31689836,13q,38445,pseudogene
LINC00399,chr13,110053043,110053988,13q,945,ncRNA
LINC00676,chr13,110380629,110382354,13q,1725,ncRNA
PPIAP22,chr21,20230097,20230594,21q,497,pseudogene
ANKRD26P4,chr13,31885426,31887058,13q,1632,pseudogene
RN7SKP10,chr13,110567443,110567767,13q,324,pseudogene
LINC00396,chr13,110705632,110707299,13q,1667,ncRNA
EEF1DP3,chr13,32420978,32527609,13q,106631,pseudogene
RN7SL783P,chr13,110750200,110750498,13q,298,pseudogene
COL4A2-AS2,chr13,111108743,111115634,13q,6891,ncRNA
LINC01073,chr13,32559822,32565134,13q,5312,ncRNA
FRY-AS1,chr13,32599451,32605776,13q,6325,ncRNA
COL4A2-AS1,chr13,111154922,111160526,13q,5604,ncRNA
SLC6A6P1,chr21,20616860,20618709,21q,1849,pseudogene
IFIT1P1,chr13,32958797,32960245,13q,1448,pseudogene
RPL21P107,chr13,111415021,111415480,13q,459,pseudogene
RNU1-139P,chr21,20717465,20717629,21q,164,pseudogene
LINC00567,chr13,111462023,111465431,13q,3408,ncRNA
RPL37P4,chr21,20966155,20966422,21q,267,pseudogene
ANKRD10-IT1,chr13,111547406,111551519,13q,4113,ncRNA
ATP8A2P2,chr13,33051411,33052978,13q,1567,pseudogene
PARP1P1,chr13,111589106,111592131,13q,3025,pseudogene
C1QBPP,chr21,21131673,21132442,21q,769,NA
LINC00431,chr13,111635654,111642911,13q,7257,ncRNA
LINC00368,chr13,111748185,111755444,13q,7259,ncRNA
RNU6-772P,chr21,21728060,21728164,21q,104,pseudogene
RN7SKP147,chr21,21728965,21729208,21q,243,pseudogene
ARHGEF7-AS2,chr13,111766159,111768025,13q,1866,ncRNA
RNY1P4,chr13,33337576,33337690,13q,114,pseudogene
FDPSP6,chr21,21760646,21761157,21q,511,pseudogene
LINC00423,chr13,33451569,33485788,13q,34219,ncRNA
ARHGEF7-IT1,chr13,111774999,111796611,13q,21612,ncRNA
KRT18P2,chr21,21797261,21798518,21q,1257,pseudogene
ARHGEF7-AS1,chr13,111796652,111797080,13q,428,ncRNA
TOMM22P3,chr13,33528195,33528539,13q,344,pseudogene
RPS3AP1,chr21,21802755,21803074,21q,319,pseudogene
STARD13-IT1,chr13,33732724,33738546,13q,5822,ncRNA
LINC00354,chr13,112554299,112555490,13q,1191,ncRNA
LINC00320,chr21,22114908,22175534,21q,60626,ncRNA
LINC00404,chr13,112760409,112761196,13q,787,ncRNA
PPIAP1,chr21,22200445,22200940,21q,495,pseudogene
LINC00403,chr13,112761433,112762329,13q,896,NA
LINC01070,chr13,112851664,112855314,13q,3650,ncRNA
